instructor_id,login_count,avg_session_time,assignments_created,student_count,engagement_score,purchased_package,institution_type
101,16,51.85,7,165,0.76,0,HigherEd
102,13,51.46,2,116,0.72,1,HigherEd
103,9,36.08,0,83,0.03,0,K12
104,7,23.13,10,118,0.32,0,HigherEd
105,6,24.97,1,263,0.7,1,HigherEd
106,14,36.1,11,148,0.45,0,HigherEd
107,12,86.51,2,258,0.75,1,HigherEd
108,12,34.41,2,180,0.19,0,HigherEd
109,9,52.98,5,81,0.93,1,K12
110,11,85.03,6,134,0.83,1,HigherEd
111,8,44.49,6,163,0.91,1,HigherEd
112,9,49.7,6,63,0.21,0,K12
113,10,13.87,2,240,0.5,1,HigherEd
114,15,69.45,5,150,0.55,0,HigherEd
115,3,59.65,0,126,0.09,0,HigherEd
116,12,54.05,2,152,0.22,0,HigherEd
117,14,41.19,6,189,0.6,0,HigherEd
118,13,85.07,5,155,0.19,0,HigherEd
119,7,43.72,3,145,0.48,0,HigherEd
120,11,52.11,4,37,0.61,1,K12
121,9,77.84,6,64,0.79,1,K12
122,10,67.52,8,1,0.71,0,Tutoring
123,20,60.18,8,128,0.53,1,HigherEd
124,9,56.06,6,70,0.09,0,K12
125,11,56.0,1,128,0.2,1,HigherEd
126,12,26.26,3,125,0.56,1,HigherEd
127,9,16.95,8,20,0.24,1,Tutoring
128,11,33.79,5,61,0.35,1,K12
129,13,33.85,1,112,0.73,1,HigherEd
130,7,56.38,7,89,0.7,1,K12
131,12,30.77,2,176,0.65,0,HigherEd
132,10,78.45,5,63,0.7,1,K12
133,11,57.59,8,22,0.38,0,K12
134,13,60.6,3,148,0.49,1,HigherEd
135,9,8.28,5,31,0.05,1,K12
136,16,45.63,5,213,0.49,1,HigherEd
137,8,45.56,3,206,0.24,0,HigherEd
138,12,39.0,3,40,0.58,0,K12
139,11,20.81,6,242,0.8,1,HigherEd
140,9,43.75,2,63,0.68,1,K12
141,16,63.99,1,1,0.68,1,Tutoring
142,11,64.79,7,180,0.53,1,HigherEd
143,15,15.42,6,118,0.93,1,HigherEd
144,12,86.21,8,50,0.09,0,K12
145,15,32.89,11,174,0.42,0,HigherEd
146,17,63.43,4,133,0.24,0,HigherEd
147,3,37.69,1,12,0.21,0,Tutoring
148,7,68.16,0,190,0.39,0,HigherEd
149,13,54.12,11,68,0.42,0,K12
150,14,80.99,7,103,0.67,1,HigherEd
151,19,40.57,6,144,0.59,0,HigherEd
152,9,50.32,7,108,0.52,0,HigherEd
153,4,52.99,0,77,0.52,0,K12
154,12,59.47,10,169,0.41,1,HigherEd
155,7,33.39,4,253,0.67,1,HigherEd
156,11,22.8,3,54,0.74,1,K12
157,10,74.14,4,53,0.83,1,K12
158,13,65.48,6,182,0.23,0,HigherEd
159,12,32.01,3,49,0.35,1,K12
160,13,69.42,6,101,0.16,0,HigherEd
161,10,6.25,2,181,0.36,0,HigherEd
162,15,41.1,2,115,0.61,0,HigherEd
163,15,25.03,6,181,0.85,0,HigherEd
164,9,27.15,2,245,0.39,0,HigherEd
165,12,59.74,3,125,0.61,0,HigherEd
166,14,32.92,1,313,0.45,0,HigherEd
167,9,49.01,7,38,0.57,0,K12
168,6,48.05,0,115,0.16,0,HigherEd
169,5,41.34,6,68,0.19,0,K12
170,17,29.63,7,117,0.64,1,HigherEd
171,7,36.47,6,129,0.16,1,HigherEd
172,11,72.37,0,129,0.55,1,HigherEd
173,8,25.9,4,285,0.25,1,HigherEd
174,14,49.82,2,99,0.56,0,K12
175,6,51.77,1,133,0.75,0,HigherEd
176,10,5.89,2,199,0.76,0,HigherEd
177,8,77.31,2,217,0.75,0,HigherEd
178,7,69.5,6,30,0.33,1,K12
179,14,24.99,3,161,0.41,0,HigherEd
180,17,58.35,3,132,0.71,1,HigherEd
181,24,34.29,9,146,0.62,1,HigherEd
182,15,60.01,8,77,0.69,1,K12
183,6,44.61,1,183,0.09,1,HigherEd
184,16,27.72,9,137,0.74,0,HigherEd
185,16,26.45,7,198,0.47,1,HigherEd
186,11,98.75,7,138,0.91,1,HigherEd
187,9,40.08,1,293,0.25,0,HigherEd
188,6,57.22,1,1,0.89,0,Tutoring
189,9,38.82,1,145,0.65,0,HigherEd
190,13,41.39,5,1,0.32,0,Tutoring
191,9,8.94,0,141,0.43,1,HigherEd
192,4,34.15,2,70,0.3,0,K12
193,7,42.37,3,102,0.2,0,HigherEd
194,18,68.14,8,170,0.66,1,HigherEd
195,10,34.03,4,132,0.18,1,HigherEd
196,11,70.75,1,32,0.24,1,K12
197,18,60.87,1,224,0.31,1,HigherEd
198,8,74.64,0,85,0.54,0,K12
199,11,64.3,9,21,0.16,0,K12
200,21,35.76,5,91,0.17,1,K12
201,10,68.46,5,111,0.49,0,HigherEd
202,12,4.22,4,218,0.45,0,HigherEd
203,13,23.55,5,285,0.26,1,HigherEd
204,8,62.99,3,74,0.5,0,K12
205,15,80.38,4,189,0.73,0,HigherEd
206,13,26.89,3,72,0.76,1,K12
207,8,41.1,6,167,0.81,1,HigherEd
208,10,32.47,6,196,0.5,1,HigherEd
209,15,59.31,7,155,0.31,1,HigherEd
210,11,29.15,3,1,0.31,0,Tutoring
211,6,45.06,0,58,0.76,1,K12
212,10,57.71,0,124,0.72,0,HigherEd
213,11,51.7,2,135,0.17,1,HigherEd
214,12,52.85,3,117,0.11,1,HigherEd
215,10,26.05,2,121,0.83,0,HigherEd
216,9,31.84,2,12,0.19,0,Tutoring
217,18,31.73,7,278,0.91,1,HigherEd
218,14,46.77,6,70,0.53,0,K12
219,12,47.8,0,103,0.5,0,HigherEd
220,9,65.78,3,173,0.42,1,HigherEd
221,10,36.64,8,59,0.57,1,K12
222,7,59.82,1,101,0.19,0,HigherEd
223,12,1.0,7,62,NA,0,K12
224,7,47.04,7,20,0.11,1,Tutoring
225,11,17.97,3,105,0.51,0,HigherEd
226,19,45.42,8,19,0.32,0,Tutoring
227,8,25.12,0,246,0.16,0,HigherEd
228,12,38.6,5,53,0.78,1,K12
229,14,56.69,8,70,0.97,1,K12
230,11,36.42,6,1,0.72,0,Tutoring
231,21,48.14,8,20,0.19,1,Tutoring
232,13,38.74,5,19,0.52,0,Tutoring
233,14,59.28,3,1,0.58,0,Tutoring
234,13,31.31,7,1,0.77,1,Tutoring
235,12,33.05,5,104,0.06,1,HigherEd
236,10,41.22,6,109,0.67,1,HigherEd
237,16,18.49,6,176,0.76,0,HigherEd
238,15,9.43,6,79,0.36,1,K12
239,9,1.0,0,60,0.56,0,K12
240,10,35.71,5,182,0.24,0,HigherEd
241,12,10.6,6,74,0.58,1,K12
242,10,37.32,4,279,0.74,0,HigherEd
243,14,64.91,4,174,0.3,0,HigherEd
244,16,54.16,11,119,0.54,1,HigherEd
245,22,34.31,11,39,0.32,1,K12
246,12,35.42,2,175,0.56,1,HigherEd
247,10,60.44,7,1,0.83,0,Tutoring
248,10,22.67,7,107,0.2,0,HigherEd
249,11,67.93,3,77,0.78,1,K12
250,7,62.8,5,1,0.47,0,Tutoring
251,10,31.74,4,151,0.45,1,HigherEd
252,14,61.23,2,185,0.63,0,HigherEd
253,7,14.27,2,142,0.64,0,HigherEd
254,13,56.44,5,209,0.62,0,HigherEd
255,11,42.18,9,80,0.52,1,K12
256,14,50.88,4,57,0.16,1,K12
257,12,38.98,9,174,0.27,0,HigherEd
258,13,29.28,1,144,0.31,1,HigherEd
259,11,29.99,6,134,0.81,1,HigherEd
260,5,35.14,6,19,0.54,1,Tutoring
261,14,24.22,2,30,0.85,1,K12
262,10,42.49,4,126,0.96,0,HigherEd
263,16,86.13,3,157,0.53,1,HigherEd
264,14,59.88,4,153,0.39,0,HigherEd
265,9,17.45,1,201,0.6,1,HigherEd
266,8,1.0,6,100,0.28,0,K12
267,10,25.08,5,188,0.97,0,HigherEd
268,13,50.19,1,187,0.68,1,HigherEd
269,10,18.62,3,55,0.54,1,K12
270,6,63.81,1,227,0.4,0,HigherEd
271,11,62.94,8,172,0.22,0,HigherEd
272,13,75.26,7,169,0.25,0,HigherEd
273,8,50.93,4,135,0.42,1,HigherEd
274,8,51.21,0,194,0.59,0,HigherEd
275,17,26.84,11,160,0.52,0,HigherEd
276,13,23.03,2,71,0.2,0,K12
277,15,50.21,4,39,0.14,0,K12
278,14,54.83,7,96,0.3,1,K12
279,9,24.67,2,116,0.86,0,HigherEd
280,13,57.81,8,281,0.6,0,HigherEd
281,15,28.63,10,159,0.23,1,HigherEd
282,14,56.21,5,67,0.5,1,K12
283,12,65.23,8,60,0.67,1,K12
284,8,52.47,4,226,0.56,0,HigherEd
285,12,49.83,1,150,0.84,1,HigherEd
286,11,67.26,7,140,0.42,0,HigherEd
287,10,50.06,6,117,0.62,0,HigherEd
288,19,35.31,5,105,0.51,1,HigherEd
289,8,43.76,4,189,0.59,0,HigherEd
290,10,29.78,2,146,0.72,0,HigherEd
291,10,37.81,4,134,0.95,1,HigherEd
292,12,60.63,1,1,0.34,1,Tutoring
293,10,39.42,6,116,0.52,1,HigherEd
294,11,76.26,3,100,0.39,0,K12
295,13,19.9,0,189,0.25,0,HigherEd
296,9,34.03,6,31,0.65,1,K12
297,8,68.9,1,65,0.34,1,K12
298,15,32.25,7,1,0.25,0,Tutoring
299,9,44.45,3,191,0.77,1,HigherEd
300,15,37.3,7,131,0.08,0,HigherEd
301,11,62.73,0,95,0.73,1,K12
302,15,34.29,7,61,0.5,1,K12
303,12,47.28,2,23,0.55,1,K12
304,10,27.22,6,190,0.55,0,HigherEd
305,10,57.81,3,145,0.27,0,HigherEd
306,12,54.7,7,185,0.62,1,HigherEd
307,14,63.64,4,210,0.36,1,HigherEd
308,16,35.14,7,257,0.87,1,HigherEd
309,8,63.23,3,221,0.13,0,HigherEd
310,10,61.2,5,160,0.72,0,HigherEd
311,9,75.33,5,125,0.36,1,HigherEd
312,11,36.73,10,164,0.67,0,HigherEd
313,12,65.57,8,78,0.39,1,K12
314,16,69.01,5,87,0.62,0,K12
315,14,41.26,5,78,0.31,1,K12
316,14,25.75,4,168,0.57,1,HigherEd
317,13,32.39,3,96,0.71,1,K12
318,11,51.35,3,112,0.36,0,HigherEd
319,9,65.36,7,234,0.81,1,HigherEd
320,14,49.68,4,216,0.4,0,HigherEd
321,12,40.73,6,1,0.47,1,Tutoring
322,21,27.72,12,203,0.38,0,HigherEd
323,14,35.51,6,27,0.58,1,K12
324,8,52.78,3,104,0.6,0,HigherEd
325,7,51.89,1,111,0.62,0,HigherEd
326,10,10.38,8,123,0.78,1,HigherEd
327,12,63.69,8,98,0.28,0,K12
328,6,61.84,1,1,0.31,0,Tutoring
329,15,1.0,5,106,0.64,0,HigherEd
330,14,18.66,7,39,0.23,1,K12
331,16,22.08,7,64,0.88,0,K12
332,14,36.81,7,302,0.8,0,HigherEd
333,13,29.31,7,62,0.68,0,K12
334,10,78.34,8,178,0.62,0,HigherEd
335,9,29.68,1,176,0.62,0,HigherEd
336,10,23.58,9,17,0.49,1,Tutoring
337,13,46.54,2,120,0.7,1,HigherEd
338,8,49.58,0,168,0.36,0,HigherEd
339,9,68.21,7,258,0.88,1,HigherEd
340,18,40.69,4,190,0.85,1,HigherEd
341,13,29.84,5,52,0.93,1,K12
342,10,73.37,0,222,0.72,0,HigherEd
343,10,12.35,1,146,0.65,1,HigherEd
344,12,21.36,6,286,0.34,0,HigherEd
345,12,40.2,2,126,0.36,1,HigherEd
346,14,63.28,0,247,0.7,0,HigherEd
347,13,88.28,4,107,0.46,1,HigherEd
348,15,58.58,5,78,0.45,1,K12
349,12,51.77,0,65,0.35,0,K12
350,14,34.48,6,152,0.2,0,HigherEd
351,10,34.15,0,91,0.23,0,K12
352,17,67.12,5,54,0.56,1,K12
353,8,61.08,0,133,0.64,1,HigherEd
354,22,53.72,1,174,0.31,1,HigherEd
355,16,43.33,5,34,0.1,1,K12
356,11,32.85,4,154,0.39,1,HigherEd
357,13,33.81,0,259,0.41,1,HigherEd
358,13,47.91,3,131,0.82,1,HigherEd
359,8,49.7,1,109,0.97,0,HigherEd
360,8,78.91,8,132,0.35,0,HigherEd
361,16,56.93,1,129,0.53,0,HigherEd
362,6,68.07,6,95,0.03,0,K12
363,11,55.15,6,203,0.05,0,HigherEd
364,10,45.9,4,79,0.31,0,K12
365,13,66.56,6,142,0.6,1,HigherEd
366,11,25.69,9,73,0.91,1,K12
367,13,34.57,12,11,0.17,0,Tutoring
368,15,62.59,2,230,0.61,1,HigherEd
369,11,93.83,0,129,0.55,1,HigherEd
370,8,49.66,0,1,0.7,1,Tutoring
371,13,46.0,9,84,0.38,1,K12
372,9,87.5,7,273,0.58,1,HigherEd
373,16,46.88,10,214,0.32,0,HigherEd
374,14,51.72,4,54,0.35,0,K12
375,10,68.01,5,135,0.78,0,HigherEd
376,11,68.9,7,10,0.7,0,Tutoring
377,9,9.41,1,68,0.51,1,K12
378,16,42.53,7,80,0.52,0,K12
379,17,35.92,5,153,0.53,1,HigherEd
380,13,37.8,3,149,0.58,0,HigherEd
381,10,51.81,5,62,0.45,0,K12
382,12,22.61,3,134,0.68,0,HigherEd
383,14,81.13,7,194,0.14,1,HigherEd
384,11,66.3,8,46,0.2,0,K12
385,10,30.41,0,195,0.33,1,HigherEd
386,9,64.91,8,1,0.1,0,Tutoring
387,11,35.3,4,252,0.91,0,HigherEd
388,10,37.59,0,62,0.57,0,K12
389,7,39.23,0,1,0.6,1,Tutoring
390,9,70.06,2,64,0.05,0,K12
391,15,45.56,5,143,0.86,1,HigherEd
392,14,58.29,3,200,0.63,1,HigherEd
393,8,29.2,1,1,0.71,0,Tutoring
394,5,24.15,0,157,0.58,1,HigherEd
395,12,51.39,4,137,0.72,0,HigherEd
396,17,25.13,3,8,0.12,0,Tutoring
397,12,27.64,7,224,0.77,1,HigherEd
398,10,37.05,0,88,0.34,0,K12
399,8,33.69,4,188,0.46,0,HigherEd
400,ten,45.0,3,100,0.5,0,K12
401,10,30.0,2,-5,0.4,0,Tutoring
402,8,40.0,1,50,1.5,0,K12
100,,,,,,,Unknown
400,13,25.64,4,70,0.2,0,K12
401,16,78.48,10,108,0.3,0,HigherEd
402,10,17.08,5,62,0.57,0,K12
403,12,39.72,6,102,0.76,1,HigherEd
404,12,23.05,0,60,0.59,0,K12
405,9,75.19,5,53,0.34,0,K12
406,12,47.86,7,175,0.41,0,HigherEd
407,19,40.62,9,169,0.27,0,HigherEd
408,11,71.51,0,166,0.48,0,HigherEd
409,11,26.39,4,195,0.18,0,HigherEd
410,12,58.43,9,191,0.92,1,HigherEd
411,17,62.28,9,76,0.07,1,K12
412,17,55.75,8,97,0.19,1,K12
413,9,81.76,5,1,0.42,1,Tutoring
414,18,32.84,8,144,0.28,0,HigherEd
415,18,51.93,3,150,0.44,1,HigherEd
416,10,56.06,2,273,0.27,1,HigherEd
417,18,10.96,10,51,0.61,1,K12
418,12,27.73,4,121,0.6,0,HigherEd
419,7,13.09,0,71,0.73,0,K12
420,3,43.42,0,81,0.63,0,K12
421,10,33.96,3,54,0.61,1,K12
422,13,62.24,0,27,0.55,0,K12
423,18,12.68,8,194,0.62,0,HigherEd
424,11,45.69,5,76,0.4,1,K12
425,11,60.0,5,43,0.42,0,K12
426,15,67.55,7,14,0.53,0,Tutoring
427,9,57.67,1,254,0.12,1,HigherEd
428,6,34.9,1,180,0.43,1,HigherEd
429,14,42.73,6,218,0.2,0,HigherEd
430,10,61.22,7,80,0.7,1,K12
431,10,76.18,0,250,0.45,0,HigherEd
432,10,38.59,4,69,0.6,0,K12
433,12,66.41,8,111,0.41,0,HigherEd
434,13,1.0,4,208,0.56,0,HigherEd
435,17,44.31,7,220,0.11,1,HigherEd
436,8,64.73,1,1,0.39,1,Tutoring
437,12,41.5,4,198,0.18,0,HigherEd
438,15,91.98,3,86,0.52,1,K12
439,11,63.73,3,178,0.59,1,HigherEd
440,8,25.29,0,128,0.41,0,HigherEd
441,10,21.54,3,154,0.62,1,HigherEd
442,6,45.91,4,268,0.16,0,HigherEd
443,12,90.61,5,1,0.25,0,Tutoring
444,15,13.74,2,234,0.37,1,HigherEd
445,9,72.32,0,122,0.43,1,HigherEd
446,11,48.98,0,47,0.33,0,K12
447,10,43.8,5,143,0.06,0,HigherEd
448,11,27.0,4,1,0.4,0,Tutoring
449,11,68.19,7,57,0.51,1,K12
450,16,31.84,5,216,0.48,1,HigherEd
451,10,23.9,4,41,0.15,0,K12
452,9,30.63,0,48,0.73,0,K12
453,14,48.09,4,118,0.31,1,HigherEd
454,10,60.2,6,207,0.43,0,HigherEd
455,13,3.73,4,195,0.48,0,HigherEd
456,12,90.56,4,12,0.42,0,Tutoring
457,7,56.83,4,144,0.13,0,HigherEd
458,6,64.64,3,1,0.72,0,Tutoring
459,8,1.0,9,143,0.27,0,HigherEd
460,4,67.16,0,70,0.63,1,K12
461,7,61.79,0,47,0.2,1,K12
462,13,55.23,6,50,0.4,0,K12
463,12,23.83,0,136,0.75,0,HigherEd
464,12,45.87,8,221,0.18,1,HigherEd
465,11,49.53,2,75,0.57,0,K12
466,15,13.43,5,214,0.93,1,HigherEd
467,8,67.99,4,221,0.37,0,HigherEd
468,15,10.83,10,161,0.2,0,HigherEd
469,8,51.46,7,223,0.48,0,HigherEd
470,8,54.0,1,67,0.65,1,K12
471,12,52.91,1,72,0.21,0,K12
472,10,55.79,6,1,0.59,1,Tutoring
473,14,33.22,2,105,0.56,0,HigherEd
474,10,55.83,9,153,0.44,1,HigherEd
475,17,55.02,4,179,0.35,0,HigherEd
476,11,46.74,7,58,0.55,1,K12
477,13,62.46,2,113,0.39,1,HigherEd
478,11,38.9,3,154,0.54,1,HigherEd
479,12,33.07,3,184,0.43,1,HigherEd
480,11,31.74,3,106,0.6,0,HigherEd
481,14,35.81,2,70,0.51,1,K12
482,11,45.2,7,138,0.93,1,HigherEd
483,6,38.1,3,174,0.61,1,HigherEd
484,16,45.45,4,153,0.08,0,HigherEd
485,14,27.25,7,148,0.6,1,HigherEd
486,14,18.68,1,115,0.8,0,HigherEd
487,14,17.15,5,1,0.39,1,Tutoring
488,12,42.33,2,100,0.11,0,K12
489,11,32.17,9,51,0.76,1,K12
490,21,64.15,4,178,0.53,0,HigherEd
491,6,74.42,0,37,0.74,0,K12
492,10,12.9,3,141,0.68,1,HigherEd
493,10,58.33,5,166,0.49,0,HigherEd
494,16,76.13,6,25,0.62,1,K12
495,8,59.46,3,200,0.93,1,HigherEd
496,14,87.25,5,247,0.76,1,HigherEd
497,12,17.7,6,161,0.57,1,HigherEd
498,12,67.08,4,101,0.35,1,HigherEd
499,10,31.78,5,18,0.8,0,Tutoring
500,13,21.34,4,202,0.42,0,HigherEd
501,20,45.53,11,93,0.39,1,K12
502,13,68.34,4,236,0.41,1,HigherEd
503,8,54.72,0,1,0.65,0,Tutoring
504,11,52.53,6,45,0.56,0,K12
505,9,51.15,2,225,0.32,0,HigherEd
506,11,18.43,0,146,0.46,1,HigherEd
507,4,56.76,3,1,0.69,0,Tutoring
508,6,16.02,1,49,0.43,0,K12
509,15,1.0,13,162,0.66,1,HigherEd
510,14,46.14,4,141,0.44,1,HigherEd
511,5,47.94,0,366,0.78,1,HigherEd
512,9,35.13,5,169,0.43,1,HigherEd
513,14,57.65,4,58,0.84,1,K12
514,10,50.09,3,67,0.66,1,K12
515,8,24.45,2,171,0.79,0,HigherEd
516,11,39.51,4,188,0.67,0,HigherEd
517,18,78.27,8,166,0.61,1,HigherEd
518,8,62.64,3,100,0.67,1,K12
519,16,64.65,2,166,0.18,0,HigherEd
520,10,68.99,5,83,0.67,1,K12
521,17,43.97,8,94,0.18,1,K12
522,10,37.16,1,1,0.21,0,Tutoring
523,12,52.79,0,24,0.62,1,K12
524,12,50.62,2,102,0.89,0,HigherEd
525,12,61.16,2,86,0.62,0,K12
526,16,28.39,5,93,0.46,0,K12
527,12,48.11,5,115,0.92,1,HigherEd
528,8,11.48,4,199,0.63,0,HigherEd
529,13,88.7,3,249,0.73,0,HigherEd
530,9,47.66,1,1,0.43,1,Tutoring
531,10,59.19,4,108,0.7,1,HigherEd
532,12,36.22,3,1,0.22,1,Tutoring
533,17,51.69,11,40,0.87,1,K12
534,12,49.43,8,134,0.66,1,HigherEd
535,9,29.66,3,202,0.58,0,HigherEd
536,7,61.11,9,93,0.62,0,K12
537,13,17.39,3,99,0.62,0,K12
538,15,57.21,4,131,0.52,1,HigherEd
539,9,33.52,5,202,0.29,0,HigherEd
540,13,21.47,5,1,0.69,0,Tutoring
541,10,43.16,4,183,0.83,1,HigherEd
542,10,33.93,0,207,0.96,0,HigherEd
543,6,40.99,3,203,0.67,0,HigherEd
544,11,65.59,3,52,0.61,0,K12
545,13,41.89,5,231,0.61,0,HigherEd
546,9,50.82,2,78,0.35,0,K12
547,12,51.7,6,82,0.31,0,K12
548,14,17.04,9,134,0.39,1,HigherEd
549,17,38.81,9,104,0.44,0,HigherEd
550,10,35.66,0,54,0.19,0,K12
551,15,10.49,4,156,0.61,0,HigherEd
552,13,70.82,12,24,0.44,1,K12
553,10,23.14,6,33,0.33,0,K12
554,16,76.47,7,1,0.11,1,Tutoring
555,9,56.25,4,140,0.36,0,HigherEd
556,15,39.55,9,55,0.57,0,K12
557,10,72.43,5,127,0.73,0,HigherEd
558,14,54.51,0,76,0.26,1,K12
559,10,41.33,3,95,0.77,1,K12
560,17,23.92,8,1,0.34,0,Tutoring
561,12,44.5,8,46,0.51,1,K12
562,11,8.86,3,116,0.66,0,HigherEd
563,12,45.84,6,184,0.23,0,HigherEd
564,12,53.63,7,325,0.3,1,HigherEd
565,18,61.85,7,228,0.23,1,HigherEd
566,6,19.01,5,1,0.63,1,Tutoring
567,20,7.14,8,24,0.42,0,K12
568,10,56.85,0,97,0.73,0,K12
569,10,33.59,0,122,0.28,1,HigherEd
570,11,1.0,0,183,0.51,1,HigherEd
571,8,27.99,1,180,0.34,0,HigherEd
572,13,42.24,4,81,0.55,1,K12
573,11,44.27,6,207,0.21,1,HigherEd
574,15,33.34,7,96,0.1,0,K12
575,12,46.66,4,1,0.86,0,Tutoring
576,10,64.35,0,109,0.35,0,HigherEd
577,15,48.31,1,81,0.85,0,K12
578,9,42.92,8,188,0.34,0,HigherEd
579,10,30.08,2,180,0.37,0,HigherEd
580,6,17.21,3,249,0.37,1,HigherEd
581,11,20.35,7,255,0.82,1,HigherEd
582,14,59.59,10,25,0.83,1,K12
583,17,44.42,9,36,0.42,0,K12
584,12,39.96,3,146,0.4,0,HigherEd
585,10,31.64,4,12,0.36,0,Tutoring
586,15,85.72,12,101,0.1,0,HigherEd
587,14,67.5,0,152,0.76,1,HigherEd
588,11,58.74,3,181,0.8,1,HigherEd
589,14,65.77,5,79,0.08,0,K12
590,12,21.32,4,19,0.54,0,Tutoring
591,19,30.19,10,132,0.61,0,HigherEd
592,17,15.76,7,225,0.15,0,HigherEd
593,13,41.48,5,109,0.7,1,HigherEd
594,15,12.61,6,119,0.25,0,HigherEd
595,13,94.95,5,68,0.79,1,K12
596,19,35.67,7,30,0.54,0,K12
597,11,46.37,0,146,0.24,1,HigherEd
598,9,47.8,5,94,0.47,0,K12
